alt,src,price,target,store,clothesType,clothesColor
"CAMISETA MC ESTAMPADA, H&O TRYBU, LILA, 100% algodón, Size S",https://images.deprati.com.ec/sys-master/images/h90/he4/11322850705438/16703014-0_product_300Wx450H,"$15,99",mujer,De Prati,camiseta,lila
"PANTALON RECTO CON CADENA, ISABELLA, NEGRO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h31/h25/11372439502878/16701691-0_product_300Wx450H,"$25,00",mujer,De Prati,pantalon,negro
"VESTIDO ML CUELLO EN V, EXPRESSIONS, NEGRO, 97% POLIESTER 3% ELASTANO",https://images.deprati.com.ec/sys-master/images/h9f/h68/11372896518174/16712438-0_product_300Wx450H,"$69,99",mujer,De Prati,vestido,negro
"BLUSA ML CUELLO EN V, EXPRESSIONS, NEGRO COMBINADO, 100% Poliéster, Size L",https://images.deprati.com.ec/sys-master/images/hf7/h10/11323866513438/16712493-0_product_300Wx450H,"$35,99",mujer,De Prati,blusa,negro
"CAMISERO ML CON CORBATIN, EXPRESSIONS, NEGRO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h53/hec/11372903923742/16712456-0_product_300Wx450H,"$18,00",mujer,De Prati,camisero,negro
"CAMISETA ML PRINT ONDAS, H&O TRYBU, LILA COMBINADO, 90% Poliester 10% Elastano, Size S",https://images.deprati.com.ec/sys-master/images/h54/h7d/11322817380382/16702872-0_product_300Wx450H,"$12,00",mujer,De Prati,camiseta,lila
"CAMISETA SMCRP ESTAMPADA, H&O TRYBU, NEGRO, 100% algodón, Size L",https://images.deprati.com.ec/sys-master/images/hb0/h96/11322605797406/16703051-0_product_300Wx450H,"$19,99",mujer,De Prati,camiseta,negro
"BLUSA ML PRINT, H&O, CRUDO COMBINADO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h1d/h06/11403329339422/16695580-0_product_300Wx450H,"$27,99",mujer,De Prati,blusa,crudo
"VESTIDO M34 CUELLO CUADRADO, EXPRESSIONS, CRUDO, 95% POLIESTER 5% ELASTANO, Size L",https://images.deprati.com.ec/sys-master/images/hcf/h7f/11321440436254/16712391-0_product_300Wx450H,"$59,99",mujer,De Prati,vestido,crudo
"BLUSA OPEN SHOULDERS UNICOLOR, H&O, AZUL, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h27/ha2/11403402477598/16696205-0_product_300Wx450H,"$14,00",mujer,De Prati,blusa,azul
"FALDA SHORT, H&O, CRUDO, 100% Poliéster",https://images.deprati.com.ec/sys-master/images/h3e/hc5/11403355422750/16695824-0_product_300Wx450H,"$23,99",mujer,De Prati,short,crudo
"CHAQUETA DENIM C DESGASTE, H&O TRYBU, AZUL MEDIO, 98% ALGODÓN  2% ELASTANO, Size L",https://images.deprati.com.ec/sys-master/images/he5/h8c/11325750673438/16703024-0_product_300Wx450H,"$45,99",mujer,De Prati,chaqueta,azul medio
